# K	Hilbert Runtime	Z-order Runtime	Naive Runtime	Avg. times set-rad(HILBERT)/set-rad(OPT)	Avg. times set-rad(ZORDER)/set-rad(OPT)
4	0.714452028275	0.337906599045	1.52990317345	1.09787137098	1.21138981251
5	0.862116098404	0.495379924774	1.55951857567	1.06546486662	1.2020648301
6	1.04805850983	0.688498973846	1.60048127174	1.14760966189	1.27671470644
7	1.22938251495	0.873774290085	1.55801224709	1.0873177941	1.11194358644
8	1.44815778732	1.08016824722	1.5424144268	1.13838775859	1.13763729592
9	1.71343064308	1.35731768608	1.56433105469	1.09924849168	1.10274900509
10	2.08247423172	1.6943154335	1.60986399651	1.14243563051	1.13783265865
11	2.32426977158	1.96853160858	1.56992602348	1.03122180322	1.012766666
12	2.61477828026	2.28272843361	1.57014703751	1.06144640827	1.0221512785
13	2.99490833282	2.75580573082	1.585460186	1.0550224737	1.04521317394
14	3.33268594742	3.11022734642	1.57082509995	1.07418321224	1.08059040579
15	3.86620116234	3.66504812241	1.61602449417	1.10153439847	1.10555929217
16	4.17409753799	4.00605344772	1.53593826294	1.13085465959	1.1509639585
17	4.6834051609	4.50277900696	1.52252435684	1.10962926534	1.13657107934
18	5.23581814766	4.98309063911	1.55126166344	1.126066323	1.16490951889
19	5.64723134041	5.41715764999	1.53164768219	1.14368419126	1.19173789282
20	6.08031725883	5.9991774559	1.54886126518	1.17205208958	1.23479747575
