# K	Hilbert Runtime	Z-order Runtime	Naive Runtime	Avg. times set-rad(HILBERT)/set-rad(OPT)	Avg. times set-rad(ZORDER)/set-rad(OPT)
4	5.07346630096	2.42099881172	40.5608348846	1.34301119391	1.43290508438
5	6.27715134621	3.52310276031	41.0290381908	1.31694512289	1.40030589458
6	7.56579947472	4.73840379715	40.568089962	1.30708874186	1.3622275161
7	9.21793007851	6.27251505852	40.3909947872	1.30468218138	1.36655237671
8	11.0496528149	7.86039876938	40.9789824486	1.30129968244	1.36252571457
9	12.7085340023	9.46764540672	40.8116383553	1.30033433125	1.35648497698
10	14.871039629	11.7820353508	41.13245821	1.29639496505	1.35315097177
11	17.0364975929	13.9707920551	41.4520714283	1.29838262525	1.34154071161
12	19.4961278439	16.3842461109	41.8069684505	1.29922001429	1.33777753955
13	22.0859167576	19.0660209656	41.8964984417	1.2990835634	1.34010694505
14	24.9436736107	21.852134943	41.701887846	1.29741047488	1.33175116924
15	29.1175625324	26.2271924019	41.8927073479	1.29073719269	1.3229904625
16	31.4583163261	28.9416744709	40.980353117	1.28695635108	1.32097073535
17	35.5474741459	32.9172129631	41.3688519001	1.28347524846	1.31814563116
18	38.3727145195	36.6952776909	40.619815588	1.28162383218	1.31458131119
19	43.2328052521	41.1332576275	41.2645056248	1.28229951005	1.31365647562
20	48.5265834332	45.6040382385	41.928347826	1.28150061674	1.31174943108
